version,tagId,timestamp,x,y,z,success,blinkIndex,latency,anchorid1,anchorid2,anchorid3,anchorid4,anchorid5,rss1,rss2,rss3,rss4,rss5,converted_date,time
2.1,200000638,1688737325.6913888,,,,False,8784,213,5084,,,,,-83,,,,,2023-07-07,08:42:05.691
2.1,200000640,1688737326.225391,-13996.0,13612.0,1000.0,True,34101,18,5018,5043,5077,5084,5094,-81,-85.0,-90.0,-87.0,-93.0,2023-07-07,08:42:06.225
2.1,200000636,1688737326.332705,,,,False,541725,19,5018,5043,5084,5094,,-84,-87.0,-86.0,-85.0,,2023-07-07,08:42:06.332
2.1,200000637,1688737326.675688,,,,False,17635,31,5018,5043,5077,5084,5094,-81,-81.0,-86.0,-83.0,-82.0,2023-07-07,08:42:06.675
2.1,200000638,1688737326.728077,,,,False,8785,25,5018,5043,5077,5084,5094,-82,-82.0,-88.0,-83.0,-83.0,2023-07-07,08:42:06.728
2.1,200000640,1688737327.1984189,,,,False,34102,15,5018,5043,5077,5084,5094,-82,-81.0,-83.0,-85.0,-82.0,2023-07-07,08:42:07.198
2.1,200000636,1688737327.30744,,,,False,541726,26,5018,5043,5084,5094,,-86,-84.0,-90.0,-85.0,,2023-07-07,08:42:07.307
2.1,200000639,1688737327.2478929,,,,False,51662,228,5018,5043,,,,-92,-87.0,,,,2023-07-07,08:42:07.247
2.1,200000637,1688737327.6864538,,,,False,17636,28,5018,5043,5077,5084,5094,-82,-86.0,-120.0,-91.0,-96.0,2023-07-07,08:42:07.686
2.1,200000636,1688737328.2824888,,,,False,541727,28,5018,5043,5084,5094,,-85,-84.0,-87.0,-87.0,,2023-07-07,08:42:08.282
2.1,200000654,1688737328.554836,,,,False,27251,22,5018,5043,5084,5094,,-83,-81.0,-88.0,-105.0,,2023-07-07,08:42:08.554
2.1,200000637,1688737328.6906168,,,,False,17637,35,5018,5043,5077,5084,5094,-82,-84.0,-102.0,-88.0,-88.0,2023-07-07,08:42:08.690
2.1,200000636,1688737329.2974439,,,,False,541728,22,5018,5043,5084,,,-85,-90.0,-98.0,,,2023-07-07,08:42:09.297
2.1,200000654,1688737329.5668879,,,,False,27252,17,5018,5043,5084,5094,,-83,-82.0,-87.0,-99.0,,2023-07-07,08:42:09.566
2.1,200000637,1688737329.698593,,,,False,17638,31,5018,5043,5077,5084,5094,-82,-84.0,-96.0,-87.0,-89.0,2023-07-07,08:42:09.698
2.1,200000640,1688737330.096392,,,,False,34105,23,5018,5043,5077,5084,5094,-81,-81.0,-85.0,-84.0,-84.0,2023-07-07,08:42:10.096
2.1,200000636,1688737330.307576,,,,False,541729,27,5018,5043,5084,5094,,-83,-92.0,-105.0,-104.0,,2023-07-07,08:42:10.307
2.1,200000639,1688737330.2945468,,,,False,51665,222,5018,5043,,,,-89,-92.0,,,,2023-07-07,08:42:10.294
2.1,200000637,1688737330.691459,,,,False,17639,23,5018,5043,5077,5084,5094,-82,-83.0,-92.0,-85.0,-84.0,2023-07-07,08:42:10.691
2.1,200000638,1688737330.760942,,,,False,8789,21,5018,5043,5077,5084,5094,-82,-82.0,-91.0,-83.0,-83.0,2023-07-07,08:42:10.760
2.1,200000640,1688737331.1024609,,,,False,34106,22,5018,5043,5077,5084,5094,-81,-81.0,-84.0,-82.0,-81.0,2023-07-07,08:42:11.102
2.1,200000636,1688737331.27668,,,,False,541730,34,5018,5043,5084,5094,,-83,-90.0,-95.0,-94.0,,2023-07-07,08:42:11.276
2.1,200000639,1688737331.310479,,,,False,51666,24,5018,5043,5077,5084,5094,-86,-85.0,-92.0,-90.0,-90.0,2023-07-07,08:42:11.310
2.1,200000641,1688737331.327947,-13221.0,13995.0,1000.0,True,472223,20,5018,5043,5077,5084,5094,-81,-82.0,-91.0,-83.0,-84.0,2023-07-07,08:42:11.327
2.1,200000637,1688737331.687557,,,,False,17640,20,5018,5043,5077,5084,5094,-81,-83.0,-89.0,-86.0,-82.0,2023-07-07,08:42:11.687
2.1,200000636,1688737332.275462,,,,False,541731,24,5018,5043,5084,5094,,-83,-93.0,-102.0,-94.0,,2023-07-07,08:42:12.275
2.1,200000639,1688737332.344342,,,,False,51667,24,5018,5043,5077,5084,5094,-86,-88.0,-120.0,-96.0,-94.0,2023-07-07,08:42:12.344
2.1,200000637,1688737332.7075949,,,,False,17641,35,5018,5043,5077,5084,5094,-81,-85.0,-98.0,-87.0,-89.0,2023-07-07,08:42:12.707
2.1,200000640,1688737333.077718,,,,False,34108,23,5018,5043,5077,5084,5094,-81,-83.0,-86.0,-86.0,-91.0,2023-07-07,08:42:13.077
2.1,200000636,1688737333.32199,,,,False,541732,227,5018,5043,,,,-82,-93.0,,,,2023-07-07,08:42:13.321
2.1,200000637,1688737333.718633,,,,False,17642,10,5018,5043,5077,5084,5094,-82,-83.0,-96.0,-86.0,-85.0,2023-07-07,08:42:13.718
